X,Y,OBJECTID,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active
80.771797,7.87305400000002,164,Sri Lanka,2021/04/25 02:20:41+00,7.873054,80.771797,100586,638,94155,5793
30.2176000000001,12.8628000000001,165,Sudan,2021/04/25 02:20:41+00,12.8628,30.2176,33673,2300,26411,4962
-56.0278,3.91930000000002,166,Suriname,2021/04/25 02:20:41+00,3.9193,-56.0278,9996,195,9052,749
18.6435000000001,60.1282,167,Sweden,2021/04/25 02:20:41+00,60.1282,18.6435,938343,13923,,924420
8.22750000000002,46.8182,168,Switzerland,2021/04/25 02:20:41+00,46.8182,8.2275,646509,10594,317600,318315
38.996815,34.8020750000001,169,Syria,2021/04/25 02:20:41+00,34.802075,38.996815,21999,1526,15731,4742
121.0,23.7,170,Taiwan*,2021/04/25 02:20:41+00,23.7,121,1097,12,1045,40
71.2761,38.861,171,Tajikistan,2021/04/25 02:20:41+00,38.861,71.2761,13308,90,13218,0
34.8888220000001,-6.36902799999996,172,Tanzania,2021/04/25 02:20:41+00,-6.369028,34.888822,509,21,183,305
100.992541,15.870032,173,Thailand,2021/04/25 02:20:41+00,15.870032,100.992541,53022,129,26873,26020
125.727539,-8.87421699999993,174,Timor-Leste,2021/04/25 02:20:41+00,-8.874217,125.727539,1739,3,814,922
0.8248,8.61950000000007,175,Togo,2021/04/25 02:20:41+00,8.6195,0.8248,12787,121,10699,1967
-61.2225,10.6918000000001,176,Trinidad and Tobago,2021/04/25 02:20:41+00,10.6918,-61.2225,9487,157,8092,1238
9.53749900000003,33.886917,177,Tunisia,2021/04/25 02:20:41+00,33.886917,9.537499,298572,10231,248013,40328
35.2433,38.9637000000001,178,Turkey,2021/04/25 02:20:41+00,38.9637,35.2433,4591416,38011,4022408,530997
-99.9999999999999,40.0000000000001,179,US,2021/04/25 02:20:41+00,40,-100,32044976,571922,,
32.2902750000001,1.37333300000006,180,Uganda,2021/04/25 02:20:41+00,1.373333,32.290275,41575,341,40898,336
31.1656,48.3794,181,Ukraine,2021/04/25 02:20:41+00,48.3794,31.1656,2071142,43884,1615812,411446
53.8478180000001,23.4240760000001,182,United Arab Emirates,2021/04/25 02:20:41+00,23.424076,53.847818,508925,1569,490457,16899
-2.99999999999994,55.0000000000001,183,United Kingdom,2021/04/25 02:20:41+00,55,-3,4418710,127670,14388,4276652
-55.7658,-32.5228,184,Uruguay,2021/04/25 02:20:41+00,-32.5228,-55.7658,182326,2283,151669,28374
64.5852620000001,41.3774910000001,185,Uzbekistan,2021/04/25 02:20:41+00,41.377491,64.585262,88679,642,85536,2501
166.9592,-15.3767,186,Vanuatu,2021/04/25 02:20:41+00,-15.3767,166.9592,4,1,3,0
-66.5896999999999,6.42380000000003,187,Venezuela,2021/04/25 02:20:41+00,6.4238,-66.5897,190523,2028,173097,15398
108.277199,14.058324,188,Vietnam,2021/04/25 02:20:41+00,14.058324,108.277199,2833,35,2490,308
35.2332000000001,31.9522000000001,189,West Bank and Gaza,2021/04/25 02:20:41+00,31.9522,35.2332,290259,3151,260650,26458
48.5163880000001,15.5527270000001,190,Yemen,2021/04/25 02:20:41+00,15.552727,48.516388,6105,1175,2486,2444
27.8493320000001,-13.1338969999999,191,Zambia,2021/04/25 02:20:41+00,-13.133897,27.849332,91317,1245,89403,669
29.1548570000001,-19.015438,192,Zimbabwe,2021/04/25 02:20:41+00,-19.015438,29.154857,38064,1556,35101,1407
